eff_sfa_contoeconomico;eff_sfa_occupazione;eff_sfa_retribuzione
0,455316313;0,664730441;0,995278356
0,500458098;0,669720187;0,996564909
0,3756449;0,687671258;0,997272524
0,347149541;0,703928773;0,99822364
0,383899518;0,723066143;0,996272681
0,786072427;0,651803381;0,941717588
0,418289056;0,660203049;0,939724252
0,21824379;0,690394974;0,983215853
0,38039971;0,692121638;0,98954372
0,284262768;0,697649269;0,946301894
0,171951776;0,699604925;0,972391725
0,229655977;0,712408544;0,972431259
0,070283865;0,728731597;0,976243526
0,219603653;0,73519724;0,991096079
0,447806138;0,733879459;0,992310458
0,730784847;0,75347017;0,996144497
0,658889665;0,729227086;0,99330201
0,700396002;0,803739389;0,998352052
0,859030037;0,785088903;0,998389491
0,608736377;0,718017157;0,944532687
0,766521712;0,70466574;0,953226251
0,302962378;0,72100443;0,968670023
0,36203102;0,752034182;0,992539064
0,7279259;0,737934954;0,995169232
0,120408717;0,712560707;0,932213845
0,241414487;0,721294949;0,956685826
0,118337153;0,732560461;0,958066742
0,050249892;0,766886686;0,990755859
0,153367981;0,81240223;0,997750939
0,207971991;0,59976854;0,869869396
0,50951215;0,601644671;0,868969842
0,506467996;0,59951931;0,849104158
0,500235697;0,616330344;0,884465781
0,499280766;0,623889824;0,936815484
0,074967717;0,650199686;0,988888367
0,409682706;0,655495773;0,976605047
0,310796281;0,66028029;0,970761621
0,234580913;0,696139064;0,990379322
0,388609259;0,70088843;0,993852829
0,32203213;0,768924705;0,998882867
0,337398772;0,796601671;0,999005584
0,457649384;0,823425851;0,999228113
0,266514013;0,717770836;0,997729029
0,295615328;0,714763789;0,997772722
0,528204947;0,645097427;0,99710095
0,334440073;0,647521975;0,996996046
0,271636635;0,619862376;0,995601069
0,355320018;0,636168278;0,995252085
0,457224119;0,60640187;0,993497852
0,051005337;0,674328048;0,989770833
0,097399753;0,662659816;0,989243307
0,357876252;0,659305478;0,986919689
0,038487956;0,689094006;0,993858846
0,039346483;0,688488231;0,993866864
0,064116584;0,649718347;0,934001986
0,127169251;0,667471518;0,986559281
0,212068271;0,658357361;0,982969343
0,176939974;0,6744254;0,989874071
0,117056049;0,66117766;0,993595352
0,217117273;0,646040705;0,933394639
0,459087321;0,608087047;0,910150834
0,514516702;0,599674812;0,887387347
0,513978398;0,601918316;0,913517249
0,511618934;0,614121486;0,981286085
0,184984356;0,613113041;0,931090602
0,302028888;0,614255803;0,924468626
0,539338539;0,611188029;0,911263781
0,388035746;0,639349758;0,940862442
0,298074386;0,646090779;0,974745489
0,445587962;0,572904667;0,87502441
0,592167241;0,552089437;0,90320482
0,753550396;0,591609305;0,971002953
0,641982241;0,558662993;0,943244663
0,340473558;0,552102464;0,959977389
0,841378418;0,771923937;0,912128593
0,850822892;0,726206245;0,933083438
0,838185447;0,697292887;0,89783032
0,736534866;0,711287101;0,975967057
0,470626609;0,713629598;0,993033657
0,168974936;0,726422808;0,906098397
0,414821347;0,721426304;0,927984941
0,23064992;0,736636066;0,966873196
0,156323404;0,816077534;0,998212526
0,352020965;0,782582268;0,99755458
0,391810129;0,755080619;0,996794123
0,538149642;0,758967718;0,997247295
0,385607428;0,733551955;0,993035325
0,366367968;0,758277422;0,996285482
0,066703165;0,755045895;0,996469087
0,683118016;0,673505969;0,901309176
0,577967819;0,685774427;0,942477767
0,447720817;0,687660111;0,963412001
0,393908356;0,680248264;0,925630173
0,403913522;0,68021133;0,975145103
0,185530216;0,656896998;0,927895918
0,365514735;0,656803337;0,943750529
0,35057034;0,675532409;0,951685745
0,167877261;0,689393243;0,978478591
0,397666552;0,664341899;0,985915509
0,506645922;0,582864669;0,894296947
0,563093409;0,583228616;0,915929879
0,511956523;0,581336004;0,895637528
0,493569182;0,624398124;0,989440941
0,49714967;0,638187685;0,994728795
0,148286814;0,706089935;0,923659698
0,226515424;0,68439133;0,924070492
0,147978857;0,695661962;0,911055934
0,066173805;0,736279612;0,990473192
0,148757996;0,770424921;0,996927901
3,16911E-08;0,690804623;0,992466067
0,15247863;0,696327883;0,994409786
0,11500795;0,689289573;0,991881444
0,18638239;0,748749644;0,997440357
0,334154813;0,740259712;0,997399531
